iteration,machine_cost,processing_time,resource_cost,wating_time,feasible,patt
100,27.477124183006573,0.7058823529411765,22641.83006535946,5334.967320261438,0.0,1
200,28.98095238095229,0.6952380952380953,32574.285714285706,8642.857142857143,0.0,1
100,18.221052631578868,1.4184210526315797,6648.421052631603,4308.1578947368425,0.0,2
200,16.67368421052629,2.0421052631578944,4964.210526315791,3531.315789473684,0.0,2
100,171.90849673202632,1.4411764705882346,5194.235294117648,302.35294117647044,0.0,3
200,128.78684210526293,0.9894736842105256,1070.2210526315775,402.53684210526325,0.0,3
100,119.31578947368435,0.5684210526315784,19.69642105263162,9.738000000000001,0.0,4
200,62.34473684210527,1.628947368421053,12.045552631578957,5.279447368421052,0.0,4
100,114.37894736842092,0.5552631578947375,0.1363839473684204,6.661473684199854e-10,0.0,5
200,120.23947368421058,1.1026315789473686,0.07950815789473673,9.035789473678425e-10,0.0,5
100,202.99736842105227,1.9473684210526323,4.3309368421049737e-07,0.04917763157894738,0.0,6
200,107.94736842105237,1.2631578947368431,4.6994184210525247e-07,0.028815526315789472,0.0,6
100,149.22807017543894,0.4736842105263158,2.2630058479533107e-07,5.9594152046783634e-08,0.0,7
200,133.98684210526326,1.2000000000000006,2.082326315789485e-07,6.280947368421106e-08,0.0,7
